Gene 1	Gene 2	Weight	Network group	Network
TAP1	ISG20	0.007480353	Co-expression	Bild-Nevins-2006 B
TAP1	CD38	0.0067000566	Co-expression	Bild-Nevins-2006 B
TAP1	GCH1	0.009626347	Co-expression	Bild-Nevins-2006 B
STAT1	GZMB	0.008415797	Co-expression	Bild-Nevins-2006 B
STAT1	ISG20	0.011086683	Co-expression	Bild-Nevins-2006 B
STAT1	CD38	0.011482784	Co-expression	Bild-Nevins-2006 B
STAT1	TAP1	0.012239893	Co-expression	Bild-Nevins-2006 B
PSMA2	DNAJA1	0.01472132	Co-expression	Bild-Nevins-2006 B
PSMA4	SEM1	0.013387734	Co-expression	Bild-Nevins-2006 B
PSMA4	PSMA2	0.020604223	Co-expression	Bild-Nevins-2006 B
PSMA3	DNAJA1	0.006350236	Co-expression	Bild-Nevins-2006 B
PSMA3	PSMA2	0.010473303	Co-expression	Bild-Nevins-2006 B
PSMA3	PSMA4	0.00931863	Co-expression	Bild-Nevins-2006 B
PSMA5	PSMA2	0.020740021	Co-expression	Bild-Nevins-2006 B
PSMA5	PSMA4	0.016734378	Co-expression	Bild-Nevins-2006 B
PSMA5	PSMA3	0.009652678	Co-expression	Bild-Nevins-2006 B
PSMB2	SEM1	0.008082972	Co-expression	Bild-Nevins-2006 B
PSMB2	TAP1	0.0071542207	Co-expression	Bild-Nevins-2006 B
PSMB2	PSMB1	0.009907761	Co-expression	Bild-Nevins-2006 B
PSMB2	PSMA3	0.00497924	Co-expression	Bild-Nevins-2006 B
PSMB2	PSMA5	0.010207147	Co-expression	Bild-Nevins-2006 B
PSMB8	GZMB	0.00735431	Co-expression	Bild-Nevins-2006 B
PSMB8	CD38	0.008926831	Co-expression	Bild-Nevins-2006 B
PSMB8	TAP1	0.012633117	Co-expression	Bild-Nevins-2006 B
PSMB8	STAT1	0.017721651	Co-expression	Bild-Nevins-2006 B
PSMB8	PSMA3	0.0067792446	Co-expression	Bild-Nevins-2006 B
PSMB6	PSMB2	0.010878428	Co-expression	Bild-Nevins-2006 B
PSMB7	PSMB1	0.022667328	Co-expression	Bild-Nevins-2006 B
PSMB7	PSMB2	0.010504239	Co-expression	Bild-Nevins-2006 B
PSMB4	PSMB6	0.016361449	Co-expression	Bild-Nevins-2006 B
IL12RB2	TAP1	0.008195823	Co-expression	Bild-Nevins-2006 B
ADRM1	PSMB1	0.016414303	Co-expression	Bild-Nevins-2006 B
ADRM1	PSMB3	0.016040837	Co-expression	Bild-Nevins-2006 B
DAP	PSMB2	0.009910885	Co-expression	Bild-Nevins-2006 B
TAP2	ISG20	0.01349327	Co-expression	Bild-Nevins-2006 B
TAP2	CD38	0.013431236	Co-expression	Bild-Nevins-2006 B
TAP2	TAP1	0.015835674	Co-expression	Bild-Nevins-2006 B
TAP2	STAT1	0.019804336	Co-expression	Bild-Nevins-2006 B
TAP2	PSMB2	0.010775149	Co-expression	Bild-Nevins-2006 B
TAP2	PSMB8	0.020243876	Co-expression	Bild-Nevins-2006 B
B2M	TAP1	0.01076688	Co-expression	Bild-Nevins-2006 B
B2M	STAT1	0.017476773	Co-expression	Bild-Nevins-2006 B
B2M	PSMB8	0.016257003	Co-expression	Bild-Nevins-2006 B
B2M	TAP2	0.02053437	Co-expression	Bild-Nevins-2006 B
PSMA7	CHP1	0.008876078	Co-expression	Bild-Nevins-2006 B
DNAJA1	GLUD1	0.013766655	Co-expression	Perou-Botstein-1999
APC	PIK3CG	0.018049775	Co-expression	Perou-Botstein-1999
PPP3CA	IGF2R	0.009520387	Co-expression	Perou-Botstein-1999
STAT1	GLUD1	0.012075129	Co-expression	Perou-Botstein-1999
PSMB1	APC	0.01798438	Co-expression	Perou-Botstein-1999
PSMA5	GLUD1	0.015585287	Co-expression	Perou-Botstein-1999
PSMA5	STAT1	0.015267582	Co-expression	Perou-Botstein-1999
PSMB3	NFKB1	0.007901592	Co-expression	Perou-Botstein-1999
PSMA7	PSMB7	0.012367761	Co-expression	Perou-Botstein-1999
TAP1	ISG20	0.015124654	Co-expression	Ramaswamy-Golub-2001
TAP1	DNAJA1	0.015123477	Co-expression	Ramaswamy-Golub-2001
STAT1	GCH1	0.013457453	Co-expression	Ramaswamy-Golub-2001
STAT1	TAP1	0.024529643	Co-expression	Ramaswamy-Golub-2001
NFKB1	PIK3CD	0.013498858	Co-expression	Ramaswamy-Golub-2001
NFKB1	GCH1	0.008841113	Co-expression	Ramaswamy-Golub-2001
PSMA2	CD38	0.01850594	Co-expression	Ramaswamy-Golub-2001
PSMA4	SEM1	0.0074834274	Co-expression	Ramaswamy-Golub-2001
PSMB1	UBB	0.013086098	Co-expression	Ramaswamy-Golub-2001
PSMA5	CD38	0.010937973	Co-expression	Ramaswamy-Golub-2001
PSMA5	DNAJA1	0.008797346	Co-expression	Ramaswamy-Golub-2001
PSMA5	TAP1	0.0074942815	Co-expression	Ramaswamy-Golub-2001
PSMA5	PSMA6	0.0059736664	Co-expression	Ramaswamy-Golub-2001
PSMB2	PSMA2	0.009956717	Co-expression	Ramaswamy-Golub-2001
PSMB2	PSMA5	0.005784987	Co-expression	Ramaswamy-Golub-2001
PSMA1	PSMA2	0.0068873735	Co-expression	Ramaswamy-Golub-2001
PSMA1	PSMA6	0.004916283	Co-expression	Ramaswamy-Golub-2001
PSMA1	PSMA3	0.009822047	Co-expression	Ramaswamy-Golub-2001
PSMA1	PSMA5	0.0040907976	Co-expression	Ramaswamy-Golub-2001
PSMA1	PSMB2	0.0048662773	Co-expression	Ramaswamy-Golub-2001
PSMB3	UBB	0.0071644173	Co-expression	Ramaswamy-Golub-2001
PSMB3	PSMB1	0.008503575	Co-expression	Ramaswamy-Golub-2001
PSMB3	PSMB2	0.0057705906	Co-expression	Ramaswamy-Golub-2001
PSMB8	DNAJA1	0.014144434	Co-expression	Ramaswamy-Golub-2001
PSMB8	TAP1	0.01864535	Co-expression	Ramaswamy-Golub-2001
PSMB8	PSMA5	0.007348492	Co-expression	Ramaswamy-Golub-2001
PSMB6	UBB	0.014628555	Co-expression	Ramaswamy-Golub-2001
PSMB6	PSMB2	0.011541001	Co-expression	Ramaswamy-Golub-2001
PSMB7	UBB	0.017292785	Co-expression	Ramaswamy-Golub-2001
PSMB7	PSMA2	0.01891244	Co-expression	Ramaswamy-Golub-2001
PSMB7	PSMB1	0.021296844	Co-expression	Ramaswamy-Golub-2001
PSMB7	PSMB3	0.010931388	Co-expression	Ramaswamy-Golub-2001
PSMB4	PSMA2	0.009035122	Co-expression	Ramaswamy-Golub-2001
PSMB4	PSMB1	0.009101626	Co-expression	Ramaswamy-Golub-2001
PSMB4	PSMB2	0.0066038356	Co-expression	Ramaswamy-Golub-2001
PSMB4	PSMB3	0.00551837	Co-expression	Ramaswamy-Golub-2001
PSMB4	PSMB6	0.01056009	Co-expression	Ramaswamy-Golub-2001
ADRM1	PSMB2	0.011334562	Co-expression	Ramaswamy-Golub-2001
ADRM1	PSMB3	0.009557278	Co-expression	Ramaswamy-Golub-2001
B2M	ISG20	0.013887037	Co-expression	Ramaswamy-Golub-2001
GCH1	ISG20	0.017294206	Co-expression	Perou-Botstein-2000
PIK3CG	CD38	0.013080925	Co-expression	Perou-Botstein-2000
STAT4	TAP1	0.012750167	Co-expression	Perou-Botstein-2000
STAT1	TAP1	0.02081446	Co-expression	Perou-Botstein-2000
PSMA2	SEM1	0.007072758	Co-expression	Perou-Botstein-2000
PSMB1	SEM1	0.012691073	Co-expression	Perou-Botstein-2000
PSMB1	PSMA2	0.00585029	Co-expression	Perou-Botstein-2000
ERBB2	STAT4	0.014930809	Co-expression	Perou-Botstein-2000
PSMA6	PSMA2	0.0034772062	Co-expression	Perou-Botstein-2000
PSMA3	PSMA6	0.0074419533	Co-expression	Perou-Botstein-2000
PSMA5	SEM1	0.005800274	Co-expression	Perou-Botstein-2000
PSMA5	PSMA2	0.003290807	Co-expression	Perou-Botstein-2000
PSMA5	PSMB1	0.0073002083	Co-expression	Perou-Botstein-2000
PSMA5	PSMA6	0.0039764955	Co-expression	Perou-Botstein-2000
PSMA5	PSMA3	0.0044111363	Co-expression	Perou-Botstein-2000
PSMA1	PSMA2	0.0066023194	Co-expression	Perou-Botstein-2000
PSMA1	PSMB1	0.0123327635	Co-expression	Perou-Botstein-2000
PSMA1	PSMA6	0.0067282277	Co-expression	Perou-Botstein-2000
PSMA1	PSMA5	0.0060287574	Co-expression	Perou-Botstein-2000
PSMB3	PSMA2	0.005902169	Co-expression	Perou-Botstein-2000
PSMB3	ERBB2	0.014193487	Co-expression	Perou-Botstein-2000
PSMB8	TAP1	0.019276628	Co-expression	Perou-Botstein-2000
PSMB6	PSMA2	0.0048438264	Co-expression	Perou-Botstein-2000
PSMB6	PSMB1	0.009048325	Co-expression	Perou-Botstein-2000
PSMB6	PSMA6	0.005712271	Co-expression	Perou-Botstein-2000
PSMB6	PSMA3	0.0068689445	Co-expression	Perou-Botstein-2000
PSMB6	PSMA5	0.004682797	Co-expression	Perou-Botstein-2000
PSMB6	PSMB2	0.010112355	Co-expression	Perou-Botstein-2000
PSMB6	PSMA1	0.009122589	Co-expression	Perou-Botstein-2000
PSMB7	PSMA6	0.006518337	Co-expression	Perou-Botstein-2000
PSMB7	PSMA5	0.0059210476	Co-expression	Perou-Botstein-2000
PSMB7	PSMB6	0.008120666	Co-expression	Perou-Botstein-2000
ADRM1	PSMA2	0.0059818365	Co-expression	Perou-Botstein-2000
ADRM1	PSMA5	0.005606802	Co-expression	Perou-Botstein-2000
USP14	PSMA5	0.0067890477	Co-expression	Perou-Botstein-2000
USP14	PSMA1	0.015784021	Co-expression	Perou-Botstein-2000
TAP2	TAP1	0.0115123885	Co-expression	Perou-Botstein-2000
TAP2	STAT4	0.013773967	Co-expression	Perou-Botstein-2000
B2M	PIK3CG	0.012095709	Co-expression	Perou-Botstein-2000
B2M	TAP1	0.012235345	Co-expression	Perou-Botstein-2000
B2M	STAT1	0.014849258	Co-expression	Perou-Botstein-2000
CHP1	GADD45B	0.02254047	Co-expression	Dobbin-Giordano-2005
CD38	ZBP1	0.006370622	Co-expression	Dobbin-Giordano-2005
CD38	GZMB	0.0062497742	Co-expression	Dobbin-Giordano-2005
CAMK2A	IFNB1	0.020380763	Co-expression	Dobbin-Giordano-2005
TAP1	CD38	0.0071572093	Co-expression	Dobbin-Giordano-2005
STAT1	GZMB	0.011945912	Co-expression	Dobbin-Giordano-2005
STAT1	CD38	0.009935191	Co-expression	Dobbin-Giordano-2005
STAT1	TAP1	0.017408997	Co-expression	Dobbin-Giordano-2005
PSMA2	SEM1	0.019783828	Co-expression	Dobbin-Giordano-2005
PSMA3	PSMA4	0.016217636	Co-expression	Dobbin-Giordano-2005
PSMA5	PSMB1	0.017995114	Co-expression	Dobbin-Giordano-2005
PSMA5	PSMA3	0.01152852	Co-expression	Dobbin-Giordano-2005
PSMB3	PSMB1	0.009430464	Co-expression	Dobbin-Giordano-2005
PSMB3	PSMA3	0.008949738	Co-expression	Dobbin-Giordano-2005
PSMB3	PSMA5	0.0089835785	Co-expression	Dobbin-Giordano-2005
PSMB3	PSMB2	0.013544933	Co-expression	Dobbin-Giordano-2005
PSMB8	CD38	0.00686822	Co-expression	Dobbin-Giordano-2005
PSMB8	TAP1	0.02061649	Co-expression	Dobbin-Giordano-2005
PSMB7	PSMB6	0.01014922	Co-expression	Dobbin-Giordano-2005
ADRM1	PSMB3	0.009629893	Co-expression	Dobbin-Giordano-2005
USP14	SEM1	0.021321915	Co-expression	Dobbin-Giordano-2005
USP14	CDKN1B	0.017844431	Co-expression	Dobbin-Giordano-2005
DAP	PYGB	0.008858669	Co-expression	Dobbin-Giordano-2005
TAP2	TAP1	0.016758211	Co-expression	Dobbin-Giordano-2005
PSMA7	PSMA2	0.019718992	Co-expression	Dobbin-Giordano-2005
PSMA7	ADRM1	0.016939553	Co-expression	Dobbin-Giordano-2005
ISG20	ZBP1	0.008798078	Co-expression	Arijs-Rutgeerts-2009
CD38	GZMB	0.0057421266	Co-expression	Arijs-Rutgeerts-2009
PIK3CG	PSMA8	0.01439446	Co-expression	Arijs-Rutgeerts-2009
PIK3CG	CD38	0.0058436906	Co-expression	Arijs-Rutgeerts-2009
TAP1	GCH1	0.011803899	Co-expression	Arijs-Rutgeerts-2009
STAT1	ZBP1	0.007642203	Co-expression	Arijs-Rutgeerts-2009
STAT1	GZMB	0.012969218	Co-expression	Arijs-Rutgeerts-2009
STAT1	TAP1	0.009430929	Co-expression	Arijs-Rutgeerts-2009
PSMA2	GCH1	0.016059246	Co-expression	Arijs-Rutgeerts-2009
PSMA4	SEM1	0.0062526944	Co-expression	Arijs-Rutgeerts-2009
PSMB1	PSMA4	0.015142743	Co-expression	Arijs-Rutgeerts-2009
PSMA3	TAP1	0.009996947	Co-expression	Arijs-Rutgeerts-2009
PSMA3	PSMA4	0.01196584	Co-expression	Arijs-Rutgeerts-2009
PSMA1	SEM1	0.011857897	Co-expression	Arijs-Rutgeerts-2009
PSMA1	DNAJA1	0.019654216	Co-expression	Arijs-Rutgeerts-2009
PSMA1	PSMA4	0.012468295	Co-expression	Arijs-Rutgeerts-2009
PSMB3	SEM1	0.009867947	Co-expression	Arijs-Rutgeerts-2009
PSMB3	PSMA1	0.018269585	Co-expression	Arijs-Rutgeerts-2009
PSMB8	GCH1	0.01437982	Co-expression	Arijs-Rutgeerts-2009
PSMB8	TAP1	0.011000454	Co-expression	Arijs-Rutgeerts-2009
PSMB8	STAT1	0.011120296	Co-expression	Arijs-Rutgeerts-2009
PSMB8	PSMA4	0.009861302	Co-expression	Arijs-Rutgeerts-2009
PSMB8	PSMA1	0.014906794	Co-expression	Arijs-Rutgeerts-2009
PSMB6	SEM1	0.010016932	Co-expression	Arijs-Rutgeerts-2009
PSMB6	PSMB1	0.014922485	Co-expression	Arijs-Rutgeerts-2009
PSMB6	PSMA1	0.015696501	Co-expression	Arijs-Rutgeerts-2009
PSMB6	PSMB3	0.016516851	Co-expression	Arijs-Rutgeerts-2009
PSMB6	PSMB8	0.01106204	Co-expression	Arijs-Rutgeerts-2009
PSMB4	PSMA2	0.014143068	Co-expression	Arijs-Rutgeerts-2009
PSMB4	PSMA4	0.014784534	Co-expression	Arijs-Rutgeerts-2009
PSMB4	PSMB1	0.030601442	Co-expression	Arijs-Rutgeerts-2009
PSMB4	PSMB6	0.014976635	Co-expression	Arijs-Rutgeerts-2009
IL12RB2	STAT4	0.012403823	Co-expression	Arijs-Rutgeerts-2009
TAP2	TAP1	0.01403719	Co-expression	Arijs-Rutgeerts-2009
TAP2	STAT1	0.014290026	Co-expression	Arijs-Rutgeerts-2009
TAP2	PSMB8	0.015864804	Co-expression	Arijs-Rutgeerts-2009
B2M	UBB	0.010072584	Co-expression	Arijs-Rutgeerts-2009
PSMA7	SEM1	0.009073622	Co-expression	Arijs-Rutgeerts-2009
PSMA7	PSMA4	0.0119743245	Co-expression	Arijs-Rutgeerts-2009
PSMA7	PSMB1	0.019701112	Co-expression	Arijs-Rutgeerts-2009
PSMA7	PSMA1	0.019978916	Co-expression	Arijs-Rutgeerts-2009
PSMA7	PSMB6	0.013268227	Co-expression	Arijs-Rutgeerts-2009
PSMA7	PSMB4	0.022092063	Co-expression	Arijs-Rutgeerts-2009
STAT5A	PIK3CG	0.017257955	Co-expression	Wang-Maris-2006
STAT4	PIK3CD	0.022311272	Co-expression	Wang-Maris-2006
STAT1	ISG20	0.013095554	Co-expression	Wang-Maris-2006
STAT1	TAP1	0.016486125	Co-expression	Wang-Maris-2006
NFKB1	PIK3CG	0.017092375	Co-expression	Wang-Maris-2006
NFKB1	STAT5A	0.01738787	Co-expression	Wang-Maris-2006
PSMA3	SEM1	0.012235092	Co-expression	Wang-Maris-2006
PSMA5	SEM1	0.014443268	Co-expression	Wang-Maris-2006
PSMA5	PSMA4	0.019808743	Co-expression	Wang-Maris-2006
PSMB3	PSMB2	0.017069371	Co-expression	Wang-Maris-2006
PSMB8	TAP1	0.0149096185	Co-expression	Wang-Maris-2006
PSMB6	UBB	0.01779864	Co-expression	Wang-Maris-2006
PSMB6	PSMB2	0.016281933	Co-expression	Wang-Maris-2006
PSMB6	PSMB3	0.019531792	Co-expression	Wang-Maris-2006
GNAO1	PRKAR1B	0.011496315	Co-expression	Wang-Maris-2006
ADRM1	GLUD1	0.011848138	Co-expression	Wang-Maris-2006
ADRM1	PSMB2	0.01246794	Co-expression	Wang-Maris-2006
ADRM1	PSMB3	0.010602538	Co-expression	Wang-Maris-2006
ADRM1	PSMB6	0.010546229	Co-expression	Wang-Maris-2006
B2M	TAP1	0.011114388	Co-expression	Wang-Maris-2006
B2M	PSMB8	0.012522025	Co-expression	Wang-Maris-2006
PSMA7	PSMB7	0.011097519	Co-expression	Wang-Maris-2006
CHP1	UNC5B	0.0034832542	Co-expression	Burington-Shaughnessy-2008
STAT1	DNAJA1	0.0198212	Co-expression	Burington-Shaughnessy-2008
STAT1	TAP1	0.018805888	Co-expression	Burington-Shaughnessy-2008
PSMA2	DNAJA1	0.02089797	Co-expression	Burington-Shaughnessy-2008
PSMA4	DNAJA1	0.013071405	Co-expression	Burington-Shaughnessy-2008
PSMA4	PSMA2	0.018114457	Co-expression	Burington-Shaughnessy-2008
PSMB1	IGF2R	0.016358132	Co-expression	Burington-Shaughnessy-2008
PSMA3	PSMA4	0.012488151	Co-expression	Burington-Shaughnessy-2008
PSMB2	CD38	0.011940515	Co-expression	Burington-Shaughnessy-2008
PSMB2	PSMA3	0.012775041	Co-expression	Burington-Shaughnessy-2008
PSMB3	TAP1	0.011870401	Co-expression	Burington-Shaughnessy-2008
PSMB3	PSMB1	0.011906269	Co-expression	Burington-Shaughnessy-2008
PSMB3	PSMB2	0.01374494	Co-expression	Burington-Shaughnessy-2008
PSMB8	TAP1	0.022644995	Co-expression	Burington-Shaughnessy-2008
PSMB6	PSMB1	0.015428037	Co-expression	Burington-Shaughnessy-2008
PSMB6	PSMB2	0.02155263	Co-expression	Burington-Shaughnessy-2008
PSMB6	PSMB3	0.015872987	Co-expression	Burington-Shaughnessy-2008
PSMB7	PSMA2	0.015069601	Co-expression	Burington-Shaughnessy-2008
PSMB7	PSMA4	0.0110293655	Co-expression	Burington-Shaughnessy-2008
PSMB4	TAP1	0.016950278	Co-expression	Burington-Shaughnessy-2008
PSMB4	PSMB2	0.012378705	Co-expression	Burington-Shaughnessy-2008
PSMB4	PSMB3	0.011964241	Co-expression	Burington-Shaughnessy-2008
PSMB4	PSMB7	0.011271362	Co-expression	Burington-Shaughnessy-2008
ADRM1	GLUD1	0.01951463	Co-expression	Burington-Shaughnessy-2008
ADRM1	PSMB2	0.014579702	Co-expression	Burington-Shaughnessy-2008
ADRM1	PSMB3	0.014530252	Co-expression	Burington-Shaughnessy-2008
ADRM1	PSMB6	0.013795465	Co-expression	Burington-Shaughnessy-2008
ADRM1	PSMB4	0.015048684	Co-expression	Burington-Shaughnessy-2008
USP14	PSMB2	0.01787539	Co-expression	Burington-Shaughnessy-2008
TAP2	TAP1	0.02538091	Co-expression	Burington-Shaughnessy-2008
TAP2	PSMB8	0.01989252	Co-expression	Burington-Shaughnessy-2008
B2M	UBB	0.015044011	Co-expression	Burington-Shaughnessy-2008
B2M	PPP3CA	0.014365425	Co-expression	Burington-Shaughnessy-2008
ISG20	GADD45B	0.007957502	Co-expression	Chen-Brown-2002
GCH1	GADD45B	0.0076763425	Co-expression	Chen-Brown-2002
GCH1	ISG20	0.0033879457	Co-expression	Chen-Brown-2002
GCH1	GLUD1	0.0026782213	Co-expression	Chen-Brown-2002
STAT4	ISG20	0.008367985	Co-expression	Chen-Brown-2002
PPP3CA	GLUD1	0.0052334536	Co-expression	Chen-Brown-2002
STAT1	TAP1	0.020184483	Co-expression	Chen-Brown-2002
PSMB1	SEM1	0.01160999	Co-expression	Chen-Brown-2002
PSMA6	PSMA4	0.006427769	Co-expression	Chen-Brown-2002
PSMA5	PSMA2	0.013028116	Co-expression	Chen-Brown-2002
PSMA5	PSMA4	0.008982203	Co-expression	Chen-Brown-2002
PSMA5	PSMA6	0.0071452023	Co-expression	Chen-Brown-2002
PSMB2	PSMB1	0.01163135	Co-expression	Chen-Brown-2002
PSMB2	PSMA5	0.0095403	Co-expression	Chen-Brown-2002
PSMA1	PSMA4	0.0063836933	Co-expression	Chen-Brown-2002
PSMA1	PSMA6	0.005770086	Co-expression	Chen-Brown-2002
PSMA1	PSMA5	0.006986961	Co-expression	Chen-Brown-2002
PSMB3	SEM1	0.010221807	Co-expression	Chen-Brown-2002
PSMB3	PSMA5	0.011161992	Co-expression	Chen-Brown-2002
PSMB3	PSMB2	0.011656336	Co-expression	Chen-Brown-2002
PSMB6	PSMB1	0.013209172	Co-expression	Chen-Brown-2002
PSMB6	PSMA5	0.009692366	Co-expression	Chen-Brown-2002
PSMB6	PSMB3	0.0110923005	Co-expression	Chen-Brown-2002
PSMB7	PSMA2	0.016296117	Co-expression	Chen-Brown-2002
PSMB7	PSMA4	0.0105126435	Co-expression	Chen-Brown-2002
PSMB7	PSMA6	0.008230992	Co-expression	Chen-Brown-2002
PSMB7	PSMA5	0.016093884	Co-expression	Chen-Brown-2002
PSMB7	PSMB2	0.0128879715	Co-expression	Chen-Brown-2002
PSMB7	PSMA1	0.0077753514	Co-expression	Chen-Brown-2002
PSMB7	PSMB3	0.0132023245	Co-expression	Chen-Brown-2002
PSMB7	PSMB6	0.012677999	Co-expression	Chen-Brown-2002
ADRM1	PYGB	0.0062032035	Co-expression	Chen-Brown-2002
